company_code,employee_name,employee_role
stt,Andrew J. Erickson,"Executive Vice President, Chief Productivity Officer and Head of International Business"
stt,Francisco Alberto Aristeguieta Silva,Executive Vice President and Chief Executive Officer of State Street Institutional Services
stt,Aunoy Banerjee,"Executive Vice President, Head of Corporate Services and Investments"
stt,Ian William Appleyard,"Executive Vice President, Global Controller and Chief Accounting Officer"
stt,Ali El Abboud,Executive Vice President and Chief Technology Officer
stt,Brian J. Franz,Executive Vice President and Global Chief Information Officer
stt,Michael L. Richards,Executive Vice President and Chief Administrative Officer
ste,Walter M. Rosebrough Jr.,"Chief Executive Officer, President and Director"
ste,Michael J. Tokich,Senior Vice President and Chief Financial Officer
ste,Daniel A. Carestio,"Senior Vice President, Chief Operating Officer and Director"
ste,John Adam Zangerle,"Senior Vice President, General Counsel, Secretary"
ste,Cary L. Majors,Senior Vice President of North America Commercial Operations
ste,Karen L. Burton,"Chief Accounting Officer, Vice President and Controller"
ste,Julie Winter,Vice President of Investor Relations and Corporate Communications
ste,Sudhir K. Pahwa,Senior Vice President of Infection Prevention Technologies
ste,Renato G. Tamaro,Vice President and Corporate Treasurer
syk,Kevin A. Lobo,Chairman and Chief Executive Officer
syk,Timothy J. Scannell,President and Chief Operating Officer
syk,Glenn S. Boehnlein,Vice President and Chief Financial Officer
syk,Robert S. Fletcher,Vice President and Chief Legal Officer
syk,Viju S. Menon,Group President of Global Quality and Operations
syk,William E. Berry Jr.,"Vice President, Corporate Controller and Principal Accounting Officer"
syk,Robert C. Cohen,Chief Technology Officer and Vice President of Global Research & Development - Joint Replacement
syk,Alan Douville,"Vice President, Chief Information Officer and Chief Information Security Officer"
syk,Preston Wells,Vice President of Investor Relations
syk,Dana S. McMahon,Vice President and Chief Compliance Officer
sivb,Gregory W. Becker,"President, Chief Executive Officer and Director"
sivb,Daniel J. Beck,Chief Financial Officer
sivb,Philip C. Cox,Chief Operations Officer
sivb,John D. China,President of SVB Capital
sivb,Michael R. Descheneaux,President of Silicon Valley Bank
sivb,Karen Hon,Chief Accounting Officer
sivb,Meghan O'Leary,Head of Investor Relations
sivb,Michael S. Zuckert,General Counsel
sivb,Michelle A. Draper,Chief Marketing Officer
sivb,Christopher D. Edmonds-Waters,Chief Human Resources Officer
syf,Margaret M. Keane,Executive Chair of the Board
syf,Brian D. Doubles,"President, Chief Executive Officer and Director"
syf,Brian J. Wenzel Sr.,Executive Vice President and Chief Financial Officer
syf,Thomas M. Quindlen,Executive Vice President and Chief Executive Officer of Retail Card
syf,Kurt R. Grossheim,Executive Vice President and Chief Operating Officer
syf,David P. Melito,"Senior Vice President, Chief Accounting Officer and Controller"
syf,Carol Juel,Executive Vice President and Chief Information Officer
syf,Jennifer Sekel Church,Head of Investor Relations
syf,Jonathan S. Mothner Esq.,"Executive Vice President, General Counsel and Secretary"
syf,Bart Schaller,Executive Vice President and Chief Marketing Officer
snps,Dr. Aart J. de Geus,"Co-Founder, Chairman and Co-Chief Executive Officer"
snps,Dr. Chi-Foon Chan,"Co-Chief Executive Officer, President and Director"
snps,Trac Pham,Chief Financial Officer
snps,Sassine Ghazi,Chief Operating Officer
snps,John F. Runkel Jr.,General Counsel and Corporate Secretary
snps,Joseph W. Logan,Sales and Corporate Marketing Officer
snps,Sudhindra Kankanwadi,"Senior Vice President, Chief Accounting Officer and Corporate Controller"
snps,Sriram Sitaraman,Chief Information Officer
snps,Lisa L. Ewbank,Vice President of Investor Relations
snps,Janet Sue Collinson,HR and Facilities Officer
syy,Kevin P. Hourican,"President, Chief Executive Officer and Director"
syy,Greg D. Bertrand,Executive Vice President of U.S. Foodservice Operations
syy,Joel T. Grade,Executive Vice President of Business Development
syy,Marie Robinson,Chief Supply Chain Officer and Executive Vice President
syy,Ajoy H. Karna,Senior Vice President of Strategy and Chief Financial Officer
syy,Aaron E. Alt,Executive Vice President and Chief Financial Officer
syy,Anita A. Zielinski,Senior Vice President and Chief Accounting Officer
syy,Thomas R. Peck Jr.,"Executive Vice President, Chief Information and Digital Officer"
syy,Camilla Zuckero,Senior Director of Investor Relations
syy,Eve M. Mcfadden,"Senior Vice President of Legal, General Counsel and Corporate Secretary"
tmus,G. Michael Sievert,"President, Chief Executive Officer, Chief Operating Officer and Director"
tmus,Peter Osvaldik,Executive Vice President and Chief Financial Officer
tmus,David A. Miller,"Executive Vice President, General Counsel and Secretary"
tmus,Neville R. Ray,President of Technology
tmus,Peter A. Ewens,Executive Vice President of Corporate Strategy and Development
tmus,Dara A. Bazzano,Senior Vice President and Chief Accounting Officer
tmus,Dr. Sunil Lingayat,Chief of Cyber Security Strategy and Technology
tmus,Cody Sanford,Chief Information Officer and Executive Vice President
tmus,Jud Henry,Senior Vice President of Investor Relations
tmus,Janice V. Kapner,Executive Vice President of Communications and Community Engagement
trow,"William J. Stromberg C.F.A., CFA",Chairman and Chief Executive Officer
trow,"Robert W. Sharps C.F.A., CPA, CFA, CPA","President, Head of Investments and Group Chief Investment Officer"
trow,Céline S. Dufétel,"Chief Operating Officer, Chief Financial Officer and Treasurer"
trow,Eric L. Veiel,Co-Head of Global Equity and Vice President
trow,Jessica M. Hiebler,Principal Accounting Officer and Vice President
trow,Nigel K. Faulkner,Chief Technology Officer and Head of Global Technology
trow,Teresa Whitaker,Investor Relations Manager
trow,"David S. Oestreicher Esq., J.D.","Vice President, General Counsel and Corporate Secretary"
trow,Edward F. Giltenan,Head of Global PR and Vice President
trow,Thomas Pedersen,Managing Director of Sales and Client Relations
ttwo,Strauss H. Zelnick,Executive Chairman and Chief Executive Officer
ttwo,Karl Slatoff,President
ttwo,Lainie Goldstein,Chief Financial Officer
ttwo,Daniel P. Emerson,Executive Vice President and Chief Legal Officer
ttwo,Nicole B. Shevins,Senior Vice President of Investor Relations and Corporate Communications
ttwo,Matthew K. Breitman,"Senior Vice President, General Counsel of Americas and Corporate Secretary"
ttwo,Sam Houser,President of Rockstar Games
ttwo,David Ismailer,President of 2K
ttwo,Michael Condrey,President of New Game Development Studio - Silicon Valley
ttwo,Linda Zabriskie,Vice President and Associate General Counsel
tpr,Joanne C. Crevoiserat,"President, Chief Executive Officer and Director"
tpr,Todd Kahn,Chief Executive Officer and Brand President of Coach
tpr,Andrea Shaw Resnick,Interim Chief Financial Officer and Global Head of IR and Corporate Communications
tpr,Thomas A. Glaser,Chief Operations Officer
tpr,Manesh B. Dadlani,"Vice President, Principal Accounting Officer and Controller"
tpr,David E. Howard,"Senior Vice President, General Counsel and Secretary"
tpr,Sarah Dunn,Global Human Resources Officer
tpr,Jo Baldwin,Global Head of Creative Studio and Vice President
tpr,Caroline Deroche Pasquier,Senior Vice President of Global PR and Communications
tpr,Peter Charles,Global Head of Supply Chain
tgt,Brian C. Cornell,Chairman and Chief Executive Officer
tgt,Michael J. Fiddelke,Executive Vice President and Chief Financial Officer
tgt,John J. Mulligan,Executive Vice President and Chief Operating Officer
tgt,Michael Edward McNamara,Executive Vice President and Chief Information Officer
tgt,Don H. Liu,"Executive Vice President, Chief Legal and Risk Officer, Chief Compliance Officer and Corporate Secretary"
tgt,Robert M. Harrison,"Senior Vice President, Chief Accounting Officer and Controller"
tgt,John Hulbert,Vice President of Investor Relations
tgt,Katie Boylan,Executive Vice President and Chief Communications Officer
tgt,Cara Sylvester,Executive Vice President and Chief Marketing and Digital Officer
tgt,Melissa K. Kremer,Executive Vice President and Chief Human Resources Officer
tel,Terrence R. Curtin CPA,Chief Executive Officer and Executive Director
tel,Heath A. Mitts,"Chief Financial Officer, Executive Vice President and Executive Director"
tel,John S. Jenkins Jr.,Executive Vice President and  General Counsel
tel,Steven T. Merkt,President of Transportation Solutions
tel,Shadrak W. Kroeger,President of Industrial Solutions Segment
tel,Joel Dubs,Senior Vice President of Operations
tel,Joseph F. Eckroth Jr.,Chief Information Officer and Senior Vice President
tel,Sujal Shah,Vice President of Investor Relations
tel,Kari Janavitz,Vice President and Chief Marketing Officer
tel,Timothy Murphy,Senior Vice President and Chief Human Resources Officer - Global Human Resources
tdy,Dr. Robert Mehrabian,Executive Chairman
tdy,Aldo Pichelli,President and Chief Executive Officer
tdy,Susan L. Main,Senior Vice President and Chief Financial Officer
tdy,Melanie Susan Cibik,"Senior Vice President, General Counsel, Secretary and Chief Compliance Officer"
tdy,Jason VanWees,"Executive Vice President of Strategy, Margin Improvement Programs and Mergers and Acquisitions"
tdy,Scott Hudson,Vice President and Chief Information Officer
tdy,Jason W. Connell,Vice President of Human Resources and Associate General Counsel
tdy,George C. Bobb III,President of Aerospace Group and Vice President
tdy,Dr. Edwin Roks,"Vice President and President of Digital Imaging, DALSA and e2v"
tdy,Janice L. Hess,President of Engineered Systems Segment
tfx,Liam J. Kelly,"Chairman, President and Chief Executive Officer"
tfx,Thomas E. Powell,Executive Vice President and Chief Financial Officer
tfx,Cameron P. Hicks,Corporate Vice President and Chief Human Resources Officer
tfx,James P. Winters,"Corporate Vice President, Manufacturing and Supply Chain"
tfx,John R. Deren,Vice President and Chief Accounting Officer
tfx,Timothy F. Duffy,Vice President and Chief Information Officer
tfx,Jacob P. Elguicze,Treasurer and Vice President of Investor Relations
tfx,Gwen Chapman,Chief Compliance Officer and Corporate Vice President
tfx,Daniel V. Logue,"Corporate Vice President, General Counsel and Secretary"
tfx,James Ferguson,President and GM of Surgical - Latin America
ter,Mark E. Jagiela,"President, Chief Executive Officer and Director"
ter,Sanjay Mehta,"Chief Financial Officer, Vice President and Treasurer"
ter,Charles Jeffrey Gray,"Vice President, General Counsel and Secretary"
ter,Gregory S. Smith,President of Industrial Automation Group
ter,Richard J. Burns,President of Semiconductor Test Division
ter,Walter G. Vahey,Executive Vice President of Corporate Development
ter,Michal Kimeldorfer-Rabinowitz,Vice President of Human Resources
ter,Bradford B. Robbins,President of LitePoint
ter,Soren Nielsen,President of Mobile Industrial Robots
ter,Kim Povlsen,President of Universal Robots
tsla,Elon R. Musk,Technoking of Tesla
tsla,Zachary J. Kirkhorn,Master of Coin
tsla,Jerome Guillen,President of Tesla Heavy Trucking
tsla,Andrew D. Baglino,Senior Vice President of Powertrain and Energy Engineering
tsla,Vaibhav Taneja,Corporate Controller and Chief Accounting Officer
tsla,Martin Viecha,Senior Director for Investor Relations
tsla,Al Prescott,Vice President of Legal
tsla,Dave Arnold,Senior Director of Global Communications
tsla,Brian Scelfo,Senior Director of Corporate Development
tsla,Jeffrey B. Straubel,Senior Advisor
txn,Richard K. Templeton,"Chairman, President and Chief Executive Officer"
txn,Rafael R. Lizardi,"Senior Vice President of Finance and Operations, Chief Financial Officer and Chief Accounting Officer"
txn,Haviv Ilan,Executive Vice President and Chief Operating Officer
txn,Kyle M. Flessner,Senior Vice President of Technology and Manufacturing Group
txn,Hagop H. Kozanian,Senior Vice President of Analog Signal Chain
txn,Dr. Ahmad R. S. Bahai Ph.D.,Senior Vice President and Chief Technology Officer
txn,Gurshaman B. Baweja,Senior Vice President of Information Technology (IT) Services and Chief Information Officer
txn,Dave Pahl,Head of Investor Relations and Vice President
txn,Cynthia Hoff Trochu,"Senior Vice President of Legal, Secretary, General Counsel and Chief Compliance Officer"
txn,Julie M. Van Haren,Senior Vice President of Communications and Investor Relations
txt,Scott C. Donnelly,"Chairman, President and Chief Executive Officer"
txt,Frank Thomas Connor,Executive Vice President and Chief Financial Officer
txt,E. Robert Lupone,"Executive Vice President, General Counsel, Secretary and Chief Compliance Officer"
txt,Julie G. Duffy,Executive Vice President of Human Resources
txt,Kimberly A. Mackenroth,Vice President and Chief Information Officer
txt,Eric Salander,Vice President of Investor Relations and Treasurer
txt,James Takats,Senior Vice President of Global Simulation and Training Strategy TRU Simulation + Training Inc
txt,Jorg Rautenstrauch,Chief Executive Officer and President of Industrial Segment
